,Factor1,Factor2,Factor3,Register
brdcast_discussn_FLR_MAT.txt,0.157750785940492,0.158393772048369,0.459560047579493,brdcast_discussion
brdcast_discussn_FX5_MAT.txt,-0.260856032770776,-0.439277730861276,-0.809768036843223,brdcast_discussion
brdcast_discussn_FXT_MAT.txt,-1.66677169997247,-0.347194691163947,-0.727356810709253,brdcast_discussion
brdcast_discussn_HM4_MAT.txt,-0.511901938861997,-0.52678233922744,-0.950334500992381,brdcast_discussion
brdcast_discussn_HM5_MAT.txt,-0.274988784397252,-0.0586876992465703,-1.22973544059107,brdcast_discussion
brdcast_discussn_HMA_MAT.txt,-0.89182196536333,-0.447659448692202,-0.751632544463577,brdcast_discussion
brdcast_discussn_HMD_MAT.txt,-0.213894792769461,0.121706344307609,-1.9695407395113,brdcast_discussion
brdcast_discussn_HMP_MAT.txt,-1.31870136314664,-0.38584379672431,1.01818871879592,brdcast_discussion
brdcast_discussn_HUV_MAT.txt,0.416509371262999,-0.463992083244156,-1.09666312165788,brdcast_discussion
brdcast_discussn_HUW_MAT.txt,-0.821122392042322,-0.154409212074093,0.827276304555348,brdcast_discussion
brdcast_discussn_HV0_MAT.txt,0.696016418983229,-0.423130701930036,-1.37432135591313,brdcast_discussion
brdcast_discussn_HV1_MAT.txt,-0.0536519012346784,0.452400959797771,0.0226302731942063,brdcast_discussion
brdcast_discussn_HV2_MAT.txt,-0.491706818945361,0.169886555560644,0.0828352033702362,brdcast_discussion
brdcast_discussn_HV3_MAT.txt,-0.407271007777249,-0.0223687196238346,-0.724206217485333,brdcast_discussion
brdcast_discussn_HVC_MAT.txt,-0.402603458169399,-0.132140671591399,-0.198449668123755,brdcast_discussion
brdcast_discussn_HVD_MAT.txt,0.121680871650858,0.391656896283827,0.0199368409190541,brdcast_discussion
brdcast_discussn_HVE_MAT.txt,0.578382938134967,-0.260895190575727,-0.738469648595022,brdcast_discussion
brdcast_discussn_J3Y_MAT.txt,-0.230977571103055,-0.546318262889371,-0.549365069042086,brdcast_discussion
